Buy_Price/Gold_Baht,Buy Date,Buy Amount,Buy Weight (g),Sell_Price/Gold_Baht,Sell Date,Sell Amount,Profit,Days Held,%Profit/Deal,%Profit/Year (Annual),Capital x days/year
72075.65,2026-04-27 15:04:24,1000.0,0.2115,71969.7,2026-04-27 15:13:11,998.53,-1.47,1,-0.15%,-41.55%,0.02
72075.65,2026-04-27 15:15:13,1000.0,0.2115,71969.7,2026-04-27 15:17:12,998.53,-1.47,1,-0.15%,-41.55%,0.0
72075.65,2026-04-27 15:18:59,1000.0,0.2115,71950.24,2026-04-27 15:24:35,998.26,-1.74,1,-0.17%,-47.04%,0.01
72075.65,2026-04-27 15:20:26,1000.0,0.2115,71910.05,2026-04-27 15:59:13,997.7,-2.3,1,-0.23%,-56.81%,0.07
72041.59,2026-04-27 15:26:35,1000.0,0.2116,71910.05,2026-04-27 15:59:13,998.17,-1.83,1,-0.18%,-48.68%,0.06
72041.59,2026-04-27 15:30:24,0.95,0.0002,71910.05,2026-04-27 15:59:13,0.94,-0.0,1,-0.18%,-48.68%,0.0
72041.59,2026-04-27 15:30:24,999.05,0.2114,71899.91,2026-04-27 16:29:12,997.09,-1.96,1,-0.2%,-51.25%,0.11
72007.56,2026-04-27 15:55:13,1000.0,0.2117,71899.91,2026-04-27 16:29:12,998.5,-1.5,1,-0.15%,-42.08%,0.06
72007.56,2026-04-27 16:01:11,1.42,0.0003,71899.91,2026-04-27 16:29:12,1.41,-0.0,1,-0.15%,-42.08%,0.0
72007.56,2026-04-27 16:01:11,998.58,0.2114,71860.04,2026-04-27 18:17:13,996.54,-2.05,1,-0.2%,-52.69%,0.26
72007.56,2026-04-27 16:09:12,1000.0,0.2117,71860.04,2026-04-27 18:17:13,997.95,-2.05,1,-0.2%,-52.69%,0.24
71959.01,2026-04-27 16:31:11,496.59,0.1052,71860.04,2026-04-27 18:17:13,495.91,-0.68,1,-0.14%,-39.49%,0.1
71959.01,2026-04-27 16:31:11,1997.24,0.4231,71879.99,2026-04-27 18:37:13,1995.04,-2.19,1,-0.11%,-33.04%,0.48
71973.56,2026-04-27 18:19:13,2.36,0.0005,71879.99,2026-04-27 18:37:13,2.36,-0.0,1,-0.13%,-37.8%,0.0
71973.56,2026-04-27 18:19:13,997.64,0.2113,71859.84,2026-04-27 19:07:13,996.06,-1.58,1,-0.16%,-43.85%,0.09
71973.56,2026-04-27 18:25:13,1000.0,0.2118,71859.84,2026-04-27 19:07:13,998.42,-1.58,1,-0.16%,-43.85%,0.08
71973.56,2026-04-27 18:39:13,2.36,0.0005,71859.84,2026-04-27 19:07:13,2.36,-0.0,1,-0.16%,-43.85%,0.0
71973.56,2026-04-27 18:39:13,997.64,0.2113,71900.15,2026-04-27 19:19:11,996.62,-1.02,1,-0.1%,-31.1%,0.08
71973.56,2026-04-27 18:53:13,1000.0,0.2118,71900.15,2026-04-27 19:19:11,998.98,-1.02,1,-0.1%,-31.1%,0.05
71973.56,2026-04-27 19:09:13,2.36,0.0005,71900.15,2026-04-27 19:19:11,2.36,-0.0,1,-0.1%,-31.1%,0.0
71973.56,2026-04-27 19:09:13,997.64,0.2113,71759.69,2026-04-27 20:39:19,994.67,-2.96,1,-0.3%,-66.25%,0.17
71973.56,2026-04-27 19:13:12,3.31,0.0007,71759.69,2026-04-27 20:39:19,3.3,-0.01,1,-0.3%,-66.25%,0.0
71973.56,2026-04-27 19:13:12,996.69,0.2111,,,,-2.13,1,-0.21%,,
71973.56,2026-04-27 19:21:11,1000.0,0.2118,,,,-2.13,1,-0.21%,,
72007.56,2026-04-27 19:27:13,1000.0,0.2117,,,,-2.6,1,-0.26%,,
71905.66,2026-04-27 20:06:35,1000.0,0.212,,,,-1.19,1,-0.12%,,
71939.59,2026-04-27 20:20:35,1000.0,0.2119,,,,-1.66,1,-0.17%,,
71939.59,2026-04-27 20:20:35,1000.0,0.2119,,,,-1.66,1,-0.17%,,
71905.66,2026-04-27 20:22:31,1000.0,0.212,,,,-1.19,1,-0.12%,,
71905.66,2026-04-27 20:40:22,1000.0,0.212,,,,-1.19,1,-0.12%,,
71871.76,2026-04-27 20:50:31,1000.0,0.2121,,,,-0.72,1,-0.07%,,
